,PlayerName,team,opp,Prop,Over_Under,draftkings,fanduel,mgm,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Avg_Total_Bases,Avg_Runs,pa,ab,h,singles,doubles,triples,hr,bb,so,batting_avg,obp,slugging_pct,Value
0,Aaron Judge,NYY,SEA,bases,Over,(1.5) -115,,(1.5) -115,32.0,49.0,177.0,29.0,48.0,16.0,0.0,13.0,32.0,2.0,0.0,39.0,54.0,0.0,1.0,2.0,0.271,0.406,0.582,0.988,132.0,29.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.667,0.667,2.0,1.5
1,Aaron Judge,NYY,SEA,bases,Under,(1.5) -115,,(1.5) -110,32.0,49.0,177.0,29.0,48.0,16.0,0.0,13.0,32.0,2.0,0.0,39.0,54.0,0.0,1.0,2.0,0.271,0.406,0.582,0.988,132.0,29.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.667,0.667,2.0,1.5
8,Adam Duvall,ATL,@CHC,bases,Over,(1.5) 100,,(1.5) 100,35.0,27.0,68.0,7.0,14.0,2.0,0.0,2.0,8.0,0.0,0.0,9.0,18.0,0.0,1.0,1.0,0.206,0.304,0.324,0.628,26.0,7.0,,,,,,,,,,,,,1.5
9,Adam Duvall,ATL,@CHC,bases,Under,(1.5) -130,,(1.5) -130,35.0,27.0,68.0,7.0,14.0,2.0,0.0,2.0,8.0,0.0,0.0,9.0,18.0,0.0,1.0,1.0,0.206,0.304,0.324,0.628,26.0,7.0,,,,,,,,,,,,,1.5
20,Alec Bohm,PHI,TEX,bases,Over,(1.5) -105,,(1.5) -110,27.0,47.0,176.0,23.0,58.0,18.0,1.0,5.0,42.0,2.0,1.0,16.0,29.0,0.0,3.0,3.0,0.33,0.389,0.528,0.917,117.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
21,Alec Bohm,PHI,TEX,bases,Under,(1.5) -125,,(1.5) -120,27.0,47.0,176.0,23.0,58.0,18.0,1.0,5.0,42.0,2.0,1.0,16.0,29.0,0.0,3.0,3.0,0.33,0.389,0.528,0.917,117.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
90,Ben Rortvedt,TB,BOS,bases,Over,(0.5) -120,,(0.5) -120,26.0,34.0,83.0,15.0,23.0,4.0,0.0,0.0,8.0,1.0,0.0,16.0,25.0,0.0,0.0,0.0,0.277,0.394,0.325,0.719,31.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
91,Ben Rortvedt,TB,BOS,bases,Under,(0.5) -110,,(0.5) -105,26.0,34.0,83.0,15.0,23.0,4.0,0.0,0.0,8.0,1.0,0.0,16.0,25.0,0.0,0.0,0.0,0.277,0.394,0.325,0.719,31.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
96,Bo Bichette,TOR,CWS,bases,Over,(1.5) -120,,(1.5) -120,26.0,43.0,165.0,14.0,38.0,9.0,1.0,2.0,16.0,4.0,1.0,11.0,27.0,0.0,1.0,3.0,0.23,0.289,0.333,0.622,67.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
97,Bo Bichette,TOR,CWS,bases,Under,(1.5) -110,,(1.5) -110,26.0,43.0,165.0,14.0,38.0,9.0,1.0,2.0,16.0,4.0,1.0,11.0,27.0,0.0,1.0,3.0,0.23,0.289,0.333,0.622,67.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
154,Bryce Harper,PHI,TEX,bases,Over,(1.5) -110,,(1.5) -110,31.0,43.0,161.0,28.0,44.0,8.0,0.0,10.0,35.0,3.0,2.0,29.0,42.0,0.0,2.0,0.0,0.273,0.38,0.509,0.889,100.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
155,Bryce Harper,PHI,TEX,bases,Under,(1.5) -120,,(1.5) -115,31.0,43.0,161.0,28.0,44.0,8.0,0.0,10.0,35.0,3.0,2.0,29.0,42.0,0.0,2.0,0.0,0.273,0.38,0.509,0.889,100.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
184,Ceddanne Rafaela,BOS,@TB,bases,Over,(0.5) -120,,(0.5) -120,23.0,47.0,159.0,20.0,31.0,8.0,2.0,5.0,25.0,5.0,3.0,6.0,44.0,2.0,3.0,1.0,0.195,0.225,0.365,0.59,73.0,20.0,,,,,,,,,,,,,0.5
185,Ceddanne Rafaela,BOS,@TB,bases,Under,(0.5) -110,,(0.5) -110,23.0,47.0,159.0,20.0,31.0,8.0,2.0,5.0,25.0,5.0,3.0,6.0,44.0,2.0,3.0,1.0,0.195,0.225,0.365,0.59,73.0,20.0,,,,,,,,,,,,,0.5
236,Corey Seager,TEX,@PHI,bases,Over,(1.5) -130,,(1.5) -135,30.0,44.0,170.0,19.0,42.0,3.0,0.0,6.0,17.0,0.0,0.0,23.0,31.0,0.0,1.0,1.0,0.247,0.338,0.371,0.709,72.0,19.0,,,,,,,,,,,,,1.5
237,Corey Seager,TEX,@PHI,bases,Under,(1.5) 100,,(1.5) 105,30.0,44.0,170.0,19.0,42.0,3.0,0.0,6.0,17.0,0.0,0.0,23.0,31.0,0.0,1.0,1.0,0.247,0.338,0.371,0.709,72.0,19.0,,,,,,,,,,,,,1.5
326,Esteury Ruiz,OAK,COL,bases,Over,(0.5) -130,,(0.5) -130,25.0,27.0,55.0,9.0,11.0,2.0,1.0,2.0,8.0,4.0,4.0,4.0,20.0,2.0,2.0,2.0,0.2,0.27,0.382,0.652,26.0,9.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.5
327,Esteury Ruiz,OAK,COL,bases,Under,(0.5) 100,,(0.5) 100,25.0,27.0,55.0,9.0,11.0,2.0,1.0,2.0,8.0,4.0,4.0,4.0,20.0,2.0,2.0,2.0,0.2,0.27,0.382,0.652,26.0,9.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.5
